Brand;DriverName
Canon;Canon Generic PCL6 Driver
HP;HP Universal Printing PCL
Infotec;PCL6 Driver for Universal Print
Kyocera;Kyocera Classic Universaldriver KPDL
Lexmark;Lexmark Universal v2 XL
Nashuatec;PCL6 Driver for Universal Print
NRG;PCL6 Driver for Universal Print
OKI;Generic / Text Only
Olivetti-Kyocera;Kyocera Classic Universaldriver KPDL
Printronix;Generic / Text Only
Ricoh;PCL6 Driver for Universal Print
Toshiba;TOSHIBA e-STUDIO Universal PCL6
Triumph-Adler;Kyocera Classic Universaldriver KPDL
UTAX;Kyocera Classic Universaldriver KPDL
